TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,DaysSinceFirst,DaysSincePrev,TransactionHour,TransactionDayOfWeek,TransactionMonth,AgeGroup_enc,BalanceGroup_enc,Target
16.4325,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,99.0,573.0,16.0,1.0,4.0,1,2,1
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,176.0,496.0,16.0,1.0,5.999999999999999,1,0,0
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,189.0,483.0,18.0,0.0,7.0,2,1,0
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,123.0,549.0,16.0,4.0,5.0,2,0,1
16.4325,Credit,Atlanta,Online,45.0,Student,198.0,1.0,7429.4,287.0,385.0,17.0,0.0,10.0,0,0,2
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,91.0,581.0,17.0,0.0,4.0,2,1,0
16.4325,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,44.0,628.0,16.0,2.0,2.0,0,0,1
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,126.00000000000001,546.0,17.0,0.0,5.0,1,2,0
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,78.0,594.0,16.0,1.0,2.9999999999999996,1,0,2
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,88.0,584.0,16.0,4.0,2.9999999999999996,1,1,0
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,71.0,601.0,16.0,1.0,2.9999999999999996,1,0,2
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,35.0,637.0,17.0,0.0,2.0,2,1,0
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,156.0,516.0,17.0,2.0,5.999999999999999,2,1,0
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,322.0,350.0,16.0,0.0,11.0,2,1,0
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,42.0,630.0,16.0,0.0,2.0,2,1,0
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,344.0,328.0,16.0,1.0,11.999999999999998,0,2,2
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,301.0,371.0,16.0,0.0,10.0,2,1,2
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,346.0,326.0,18.0,3.0,11.999999999999998,0,2,2
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,50.0,622.0,16.0,1.0,2.0,1,0,2
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,157.0,515.0,18.0,3.0,5.999999999999999,2,2,2
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,56.99999999999999,615.0,16.0,1.0,2.0,1,2,0
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,221.0,451.0,18.0,4.0,8.0,0,0,0
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,155.0,517.0,18.0,1.0,5.999999999999999,0,0,2
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,1.0,1402.5,120.00000000000001,552.0,18.0,1.0,5.0,2,1,2
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,59.0,613.0,16.0,3.0,2.9999999999999996,2,1,1
16.4325,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,291.0,381.0,17.0,4.0,10.0,1,2,0
246.93,Debit,Miami,ATM,23.0,Student,158.0,1.0,673.3499999999999,105.0,567.0,16.0,0.0,4.0,2,1,0
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,86.0,586.0,16.0,2.0,2.9999999999999996,0,2,0
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,22.0,650.0,16.0,1.0,1.0,0,1,0
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,261.0,410.99999999999994,16.0,2.0,9.0,2,1,2
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,196.00000000000003,475.99999999999994,17.0,0.0,7.0,1,0,0
